,fund_id,fund_num,fund_name,fund_onevalue,fund_time,fund_1year,fund_2year,fund_3year,fund_5year,fund_star,fund_fee
1220,1221,040012,华安强化债券A,1.2790,07-25,1.56%,1.74%,10.21%,29.75%,3,0.08%
1221,1222,002296,长城久安保本,1.0410,07-25,1.56%,--,--,--,0,0.12%
1222,1223,340009,兴全磐稳增利债券,1.3443,07-25,1.56%,3.97%,11.18%,30.06%,5,0.08%
1223,1224,000655,鑫元稳利债券,1.0700,07-25,1.56%,4.03%,8.09%,--,0,0.06%
1224,1225,531009,建信增强债券C,1.5320,07-25,1.56%,2.70%,9.20%,24.88%,4,0.00%
1225,1226,000319,泰达淘利债券A,1.2310,07-25,1.56%,3.41%,--,--,0,0.08%
1226,1227,002281,建信安心保本三号混合,1.0270,07-25,1.55%,--,--,--,0,0.12%
1227,1228,630006,华商产业升级混合,1.1390,07-25,1.55%,5.05%,13.64%,46.61%,3,0.15%
1228,1229,320004,诺安优化收益债券,1.0320,07-25,1.55%,3.47%,7.55%,20.55%,3,0.00%
1229,1230,002438,创金合信尊盛纯债,1.0080,07-25,1.55%,--,--,--,0,0.08%
1230,1231,070016,嘉实多元债券B,1.1410,07-25,1.53%,3.37%,7.04%,16.17%,3,0.00%
1231,1232,000175,汇添富高息债债券C,1.3690,07-25,1.52%,2.81%,6.74%,--,3,0.00%
1232,1233,040022,华安可转债债券A,1.1850,07-25,1.52%,-4.55%,-6.92%,4.34%,1,0.08%
1233,1234,001445,华安国企改革主题灵活配置混合,1.1590,07-25,1.52%,8.55%,--,--,0,0.15%
1234,1235,470018,汇添富双利债券A,1.4970,07-25,1.52%,3.25%,8.31%,21.65%,0,0.08%
1235,1236,002141,建信鑫丰回报灵活配置混合C,1.0677,07-25,1.52%,--,--,--,0,0.00%
1236,1237,001691,南方香港成长(QDII),0.9430,07-24,1.51%,--,--,--,0,0.16%
1237,1238,001148,申万菱信多策略灵活配置混合A,1.0380,07-25,1.51%,3.62%,--,--,0,0.07%
1238,1239,002754,博时裕创纯债,1.0080,07-25,1.51%,--,--,--,0,0.08%
1239,1240,002813,博时保泰保本A,1.0160,07-25,1.51%,--,--,--,0,0.12%
1240,1241,000339,长城医疗保健混合,1.4470,07-25,1.50%,7.46%,12.25%,--,0,0.15%
1241,1242,210014,金鹰元丰保本,1.0380,07-25,1.50%,2.75%,7.93%,--,0,0.10%
1242,1243,000473,广发集鑫债券A,1.1410,07-25,1.50%,2.33%,4.31%,--,0,0.08%
1243,1244,002083,新华鑫动力灵活配置混合A,1.0090,07-25,1.50%,--,--,--,0,0.10%
1244,1245,002084,新华鑫动力灵活配置混合C,1.0070,07-25,1.49%,--,--,--,0,0.10%
1245,1246,000419,大摩优质信价纯债A,1.1590,07-25,1.49%,4.16%,--,--,0,0.08%
1246,1247,002542,长城久鼎保本混合,1.0170,07-25,1.49%,--,--,--,0,0.12%
1247,1248,257050,国联安主题驱动混合,1.2827,07-25,1.49%,-6.70%,-6.79%,7.50%,1,0.15%
1248,1249,519111,浦银安盛优化收益债券A,1.5990,07-25,1.49%,3.38%,6.59%,18.31%,3,0.08%
1249,1250,164210,天弘同利债券(LOF),1.0020,07-25,1.48%,7.08%,17.10%,--,0,0.00%
1250,1251,180025,银华信用双利债券A,1.1910,07-25,1.48%,2.76%,7.97%,20.83%,3,0.08%
1251,1252,100037,富国优化增强债券C,1.5060,07-25,1.47%,1.72%,7.17%,22.07%,3,0.00%
1252,1253,002644,大成景荣保本混合A,1.0200,07-25,1.47%,--,--,--,0,0.12%
1253,1254,001133,广发中证全指可选消费联接A,0.8257,07-25,1.47%,1.98%,--,--,0,0.12%
1254,1255,002456,招商安元保本混合A,1.0280,07-25,1.46%,--,--,--,0,0.15%
1255,1256,000801,中金纯债A,1.1200,07-25,1.45%,2.63%,--,--,0,0.08%
1256,1257,395011,中海增强债券A,1.1340,07-25,1.45%,2.06%,4.63%,13.03%,1,0.08%
1257,1258,002648,东方合家保本混合,1.0185,07-25,1.44%,--,--,--,0,0.15%
1258,1259,070009,嘉实超短债债券,1.0443,07-25,1.43%,2.42%,4.25%,9.14%,4,0.00%
1259,1260,001801,汇添富达欣混合A,1.0510,07-25,1.43%,--,--,--,0,0.15%
1260,1261,002400,南方亚洲美元债人民币A,1.1114,07-24,1.42%,--,--,--,0,0.08%
1261,1262,400023,东方多策略灵活配置混合A,1.2824,07-25,1.42%,2.47%,6.97%,--,0,0.12%
1262,1263,002043,天治研究驱动混合C,1.0890,07-25,1.42%,--,--,--,0,0.10%
1263,1264,001775,鹏华弘泰C,1.0551,07-25,1.41%,--,--,--,0,0.15%
1264,1265,162299,泰达宏利集利债券C,1.2411,07-25,1.41%,2.28%,9.55%,27.41%,5,0.00%
1265,1266,000887,上投摩根稳进回报混合,1.0040,07-25,1.41%,1.71%,--,--,0,0.10%
1266,1267,161216,国投瑞银双债债券(LOF)A,1.0490,07-25,1.40%,2.66%,8.41%,23.68%,3,0.08%
1267,1268,002640,中信建投稳溢保本,1.0220,07-25,1.40%,--,--,--,0,0.12%
1268,1269,001914,中信建投稳利保本2号,1.0430,07-25,1.40%,--,--,--,0,0.12%
1269,1270,420003,天弘永定价值成长混合,1.8771,07-25,1.40%,13.66%,24.86%,61.38%,4,0.15%
1270,1271,519198,万家颐和保本混合,1.0124,07-25,1.39%,--,--,--,0,0.12%
1271,1272,310508,申万菱信稳益宝债券,1.3580,07-25,1.39%,3.35%,7.48%,20.89%,3,0.08%
1272,1273,000714,诺安稳健回报灵活配置混合,1.3300,07-25,1.39%,3.21%,--,--,0,0.15%
1273,1274,233005,大摩强收益债券,1.6640,07-25,1.39%,4.42%,9.72%,22.03%,5,0.08%
1274,1275,450018,国富恒久信用债券A,1.2980,07-25,1.39%,3.16%,6.43%,--,3,0.08%
1275,1276,000694,鑫元鸿利债券,1.1890,07-25,1.39%,3.06%,6.51%,--,0,0.06%
1276,1277,000066,诺安鸿鑫保本混合,1.0250,07-25,1.38%,2.04%,7.87%,--,0,0.12%
1277,1278,000270,建信安心保本混合,1.0170,07-25,1.38%,2.57%,10.91%,--,0,0.12%
1278,1279,002245,泰康稳健增利债券A,1.0353,07-25,1.38%,--,--,--,0,0.08%
1279,1280,000320,泰达淘利债券B,1.2240,07-25,1.37%,3.12%,--,--,0,0.00%
1280,1281,166401,浦银安盛稳健增利债券C,1.0430,07-25,1.36%,3.47%,5.44%,13.29%,0,0.00%
1281,1282,040023,华安可转债债券B,1.1570,07-25,1.36%,-4.86%,-7.43%,3.27%,1,0.00%
1282,1283,750003,安信目标收益债券C,1.1350,07-25,1.36%,2.68%,6.24%,--,5,0.00%
1283,1284,000744,北信瑞丰稳定收益A,1.0810,07-25,1.36%,2.89%,--,--,0,0.08%
1284,1285,040026,华安信用四季红债券,1.0490,07-25,1.36%,3.28%,7.76%,15.47%,4,0.08%
1285,1286,161033,富国中证智能汽车(LOF),1.0130,07-25,1.35%,--,--,--,0,0.12%
1286,1287,000420,大摩优质信价纯债C,1.1510,07-25,1.35%,3.85%,--,--,0,0.00%
1287,1288,002466,博时裕新纯债,1.0313,07-25,1.35%,--,--,--,0,0.08%
1288,1289,002337,创金合信尊盈纯债债券,1.0140,07-25,1.35%,--,--,--,0,0.08%
1289,1290,485014,工银添颐债券B,1.9870,07-25,1.35%,2.53%,9.84%,31.46%,4,0.00%
1290,1291,001479,中邮风格轮动灵活配置混合,1.0180,07-25,1.34%,--,--,--,0,0.15%
1291,1292,270028,广发制造业精选混合,2.3570,07-25,1.34%,4.33%,13.20%,49.49%,3,0.15%
1292,1293,020033,国泰民安增利债券A,1.0731,07-25,1.34%,3.77%,9.61%,--,5,0.08%
1293,1294,002471,泰达多元回报债券C,1.0270,07-25,1.34%,--,--,--,0,0.00%
1294,1295,000736,诺安聚利债券A,1.0850,07-25,1.34%,3.44%,--,--,0,0.08%
1295,1296,000139,富国国有企业债债券A,1.0070,07-25,1.33%,2.61%,5.29%,--,2,0.08%
1296,1297,040005,华安宏利混合,3.4650,07-25,1.33%,-2.92%,1.70%,23.57%,2,0.15%
1297,1298,002288,中银稳进保本,1.0350,07-25,1.32%,--,--,--,0,0.12%
1298,1299,000672,工银绝对收益混合发起B,1.0710,07-25,1.32%,0.12%,1.32%,--,0,0.00%
1299,1300,001911,博时裕恒纯债债券,1.0282,07-25,1.32%,--,--,--,0,0.08%
1300,1301,020012,国泰金龙债券C,1.0150,07-25,1.32%,2.83%,6.77%,15.61%,5,0.00%
1301,1302,206001,鹏华弘泰A,1.0487,07-25,1.32%,2.80%,8.69%,26.51%,1,0.15%
1302,1303,160618,鹏华丰泽债券(LOF),1.1450,07-25,1.31%,3.40%,7.05%,18.60%,0,0.00%
1303,1304,270044,广发双债添利债券A,1.2580,07-25,1.31%,3.60%,8.14%,--,3,0.08%
1304,1305,002814,博时保泰保本C,1.0120,07-25,1.31%,--,--,--,0,0.00%
1305,1306,290010,泰信中证200,1.0550,07-25,1.31%,1.43%,3.58%,22.84%,0,0.12%
1306,1307,002977,广发中证全指可选消费联接C,0.8264,07-25,1.31%,--,--,--,0,0.00%
1307,1308,160137,南方中证互联网指数分级,0.7545,07-25,1.31%,-0.71%,--,--,0,0.12%
1308,1309,040013,华安强化债券B,1.2560,07-25,1.30%,1.26%,9.44%,28.22%,3,0.00%
1309,1310,000117,广发轮动配置混合,1.6050,07-25,1.30%,5.73%,13.40%,--,3,0.15%
1310,1311,519112,浦银收益C,1.5490,07-25,1.30%,2.96%,5.93%,17.03%,3,0.00%
1311,1312,320014,诺安上证新兴联接,1.1170,07-25,1.30%,0.29%,0.34%,21.64%,0,0.12%
1312,1313,000804,中信建投稳利保本,1.0130,07-25,1.30%,2.90%,--,--,0,0.12%
1313,1314,162907,泰信基本面400指数分级,0.7530,07-25,1.30%,0.44%,2.05%,--,0,0.12%
1314,1315,001188,鹏华改革红利股票,0.8170,07-25,1.30%,4.89%,--,--,0,0.15%
1315,1316,180026,银华信用双利债券C,1.1580,07-25,1.30%,2.38%,7.41%,19.76%,3,0.00%
1316,1317,200016,长城保本,1.0480,07-25,1.29%,2.59%,11.29%,--,0,0.12%
1317,1318,121009,国投瑞银稳定增利债券A,1.0389,07-25,1.29%,2.71%,7.73%,20.37%,4,0.00%
1318,1319,002066,景顺长城景盛双息收益债券C,1.0400,07-25,1.29%,--,--,--,0,0.00%
1319,1320,002691,前海开源恒泽保本混合C,1.0160,07-25,1.29%,--,--,--,0,0.12%
1320,1321,233007,大摩卓越成长混合,2.1366,07-25,1.28%,6.98%,17.02%,58.25%,3,0.15%
1321,1322,000474,广发集鑫债券C,1.1640,07-25,1.28%,2.05%,4.79%,--,0,0.00%
1322,1323,519675,银河润利保本混合A,1.0110,07-25,1.28%,3.04%,--,--,0,0.08%
1323,1324,000297,鹏华可转债债券,0.8500,07-25,1.28%,-2.78%,--,--,0,0.08%
1324,1325,002389,招商安德保本混合A,1.0270,07-25,1.27%,--,--,--,0,0.15%
1325,1326,530017,建信双息红利债券A,1.1510,07-25,1.27%,2.79%,11.10%,31.93%,5,0.08%
1326,1327,000072,华安保本混合,1.0230,07-25,1.27%,3.17%,15.99%,--,0,0.12%
1327,1328,000467,信诚惠报债券A,1.0410,07-25,1.27%,--,--,--,0,0.08%
1328,1329,002208,博时境源保本A,1.0280,07-25,1.27%,--,--,--,0,0.12%
1329,1330,000478,建信中证500指数增强,2.3138,07-25,1.26%,10.40%,24.31%,--,0,0.15%
1330,1331,160813,长盛同盛成长优选,0.8000,07-25,1.26%,-3.66%,--,--,0,0.15%
1331,1332,519730,交银定期支付月月丰债券A,1.3940,07-25,1.26%,3.97%,8.67%,--,3,0.08%
1332,1333,001948,建信稳定丰利债券A,1.0260,07-25,1.26%,--,--,--,0,0.08%
1333,1334,002657,招商安裕保本混合A,1.0170,07-25,1.26%,--,--,--,0,0.15%
1334,1335,161810,银华内需精选混合(LOF),1.6730,07-25,1.26%,3.30%,19.24%,62.45%,3,0.15%
1335,1336,002271,招商安弘保本混合,1.0330,07-25,1.26%,--,--,--,0,0.15%
1336,1337,240008,华宝收益增长,5.7801,07-25,1.26%,4.21%,9.54%,32.87%,2,0.15%
1337,1338,000236,工银月月薪定期支付债券A,1.4700,07-25,1.25%,2.41%,7.97%,--,4,0.08%
1338,1339,002209,博时境源保本C,1.0260,07-25,1.25%,--,--,--,0,0.00%
1339,1340,002776,招商安荣保本混合A,1.0150,07-25,1.24%,--,--,--,0,0.15%
1340,1341,519963,长信利盈混合A,1.1450,07-25,1.24%,6.36%,--,--,0,0.08%
1341,1342,000802,中金纯债C,1.1060,07-25,1.23%,2.16%,--,--,0,0.00%
1342,1343,050016,博时宏观债券A/B,1.1690,07-25,1.23%,1.30%,1.58%,8.73%,1,0.08%
1343,1344,200009,长城稳健增利,1.1380,07-25,1.22%,3.08%,7.64%,16.72%,4,0.08%
1344,1345,000708,华安安享混合,1.1010,07-25,1.22%,2.31%,--,--,0,0.15%
1345,1346,000028,华富保本混合,1.0250,07-25,1.22%,1.44%,5.19%,--,0,0.12%
1346,1347,206018,鹏华产业债债券,1.0850,07-25,1.22%,2.08%,6.42%,--,4,0.08%
1347,1348,001319,农银信息传媒股票,0.7686,07-25,1.22%,-3.75%,--,--,0,0.15%
1348,1349,519610,银河旺利混合A,1.0430,07-25,1.21%,--,--,--,0,0.15%
1349,1350,700003,平安大华策略先锋混合,1.7170,07-25,1.21%,-2.62%,5.90%,31.93%,4,0.15%
1350,1351,000745,北信瑞丰稳定收益C,1.0770,07-25,1.21%,2.63%,--,--,0,0.00%
1351,1352,510080,长盛全债指数强债,1.1356,07-25,1.20%,2.22%,6.12%,19.77%,1,0.10%
1352,1353,001545,博时裕嘉纯债,1.0055,07-25,1.20%,--,--,--,0,0.08%
1353,1354,001312,华安新优选灵活配置混合A,1.0370,07-25,1.20%,2.40%,--,--,0,0.15%
1354,1355,519729,交银增强收益债券,1.2760,07-25,1.20%,2.77%,8.42%,--,0,0.08%
1355,1356,090020,大成健康产业混合,0.9370,07-25,1.19%,-3.17%,-8.75%,--,0,0.15%
1356,1357,090002,大成债券A/B,1.0255,07-25,1.19%,2.64%,8.35%,24.64%,3,0.08%
1357,1358,002565,创金合信鑫安保本A,1.0410,07-25,1.18%,--,--,--,0,0.15%
1358,1359,002165,汇添富达欣混合C,1.0420,07-25,1.18%,--,--,--,0,0.00%
1359,1360,160718,嘉实多利分级债券,0.9978,07-25,1.17%,3.24%,6.76%,15.82%,2,0.08%
1360,1361,070099,嘉实优质企业混合,1.4780,07-25,1.17%,2.71%,14.63%,39.99%,3,0.15%
1361,1362,002530,博时保泽保本A,1.0200,07-25,1.17%,--,--,--,0,0.12%
1362,1363,000166,中海安鑫保本,1.0200,07-25,1.17%,1.33%,8.26%,--,0,0.12%
1363,1364,002358,国投瑞银瑞祥保本混合,1.0310,07-25,1.16%,--,--,--,0,0.12%
1364,1365,163412,兴全轻资产混合(LOF),2.6320,07-25,1.16%,6.59%,27.68%,96.74%,4,0.15%
1365,1366,161221,国投瑞银双债债券C,1.0480,07-25,1.16%,2.18%,7.67%,--,0,0.00%
1366,1367,310518,申万可转换债券,1.3590,07-25,1.16%,-2.94%,-3.55%,15.50%,2,0.08%
1367,1368,070005,嘉实债券,1.1790,07-25,1.16%,2.76%,6.18%,13.23%,3,0.08%
1368,1369,161119,易方达新综合债券A,1.2382,07-25,1.16%,3.13%,7.47%,--,0,0.08%
1369,1370,000898,华富恒稳纯债债券A,1.1100,07-25,1.16%,2.69%,--,--,0,0.08%
1370,1371,180013,银华领先策略混合,1.4515,07-25,1.15%,1.78%,12.60%,50.87%,4,0.15%
1371,1372,400011,东方核心动力混合,1.5096,07-25,1.15%,4.36%,16.88%,45.62%,3,0.15%
1372,1373,206003,鹏华信用增利债券A,1.2545,07-25,1.15%,4.28%,8.43%,16.47%,3,0.08%
1373,1374,164206,天弘添利债券(LOF),1.0520,07-25,1.15%,4.11%,10.80%,25.08%,0,0.00%
1374,1375,002543,长城久益保本A,1.0260,07-25,1.14%,--,--,--,0,0.15%
1375,1376,002144,华安新优选灵活配置混合C,1.0350,07-25,1.14%,--,--,--,0,0.00%
1376,1377,180015,银华增强债券,1.1780,07-25,1.14%,2.97%,7.99%,18.42%,3,0.08%
1377,1378,000126,招商安润保本混合,1.0230,07-25,1.14%,1.89%,6.86%,--,0,0.15%
1378,1379,160808,长盛同瑞200分级,1.0290,07-25,1.14%,0.73%,-5.21%,2.90%,0,0.12%
1379,1380,161115,易方达岁丰添利债券(LOF),1.3320,07-25,1.14%,2.98%,13.92%,40.77%,4,0.08%
1380,1381,002401,南方亚洲美元债人民币C,1.1039,07-24,1.14%,--,--,--,0,0.00%
1381,1382,320012,诺安主题精选混合,1.5740,07-25,1.13%,3.02%,7.42%,39.41%,2,0.15%
1382,1383,161614,融通四季添利债券(LOF),1.0300,07-25,1.13%,3.82%,7.24%,16.02%,3,0.08%
1383,1384,531017,建信双息红利债券C,1.1100,07-25,1.13%,2.50%,--,--,0,0.00%
1384,1385,002354,博时裕腾纯债,1.0294,07-25,1.13%,--,--,--,0,0.08%
1385,1386,002303,金鹰智慧生活混合,0.9780,07-25,1.12%,--,--,--,0,0.15%
1386,1387,000110,金鹰元安混合A,1.0565,07-25,1.12%,1.72%,6.25%,--,0,0.08%
1387,1388,000152,大成景旭纯债A,1.0860,07-25,1.12%,3.26%,7.13%,--,4,0.08%
1388,1389,020034,国泰民安增利债券C,1.0691,07-25,1.12%,3.43%,9.12%,--,5,0.00%
1389,1390,040041,华安纯债债券C,1.0532,07-25,1.12%,2.19%,5.38%,--,2,0.00%
1390,1391,530003,建信优选成长混合A,1.7794,07-25,1.11%,3.99%,16.92%,57.29%,5,0.15%
1391,1392,040040,华安纯债债券A,1.0530,07-25,1.10%,2.13%,5.21%,--,2,0.08%
1392,1393,000141,富国国有企业债C级,1.0070,07-25,1.10%,2.16%,4.60%,--,2,0.00%
1393,1394,270045,广发双债添利债券C,1.2450,07-25,1.10%,3.22%,7.81%,--,3,0.00%
1394,1395,163406,兴全合润分级混合,1.1089,07-25,1.09%,6.46%,28.26%,90.82%,4,0.12%
1395,1396,206004,鹏华信用增利债券B,1.3311,07-25,1.09%,4.11%,8.32%,16.20%,3,0.00%
1396,1397,050116,博时宏观债券C,1.1640,07-25,1.09%,1.01%,1.35%,8.58%,2,0.00%
1397,1398,002681,金鹰元和保本A,1.0120,07-25,1.08%,--,--,--,0,0.12%
1398,1399,002628,招商安博保本混合A,1.0130,07-25,1.08%,--,--,--,0,0.15%
1399,1400,001429,博时新财富混合A,1.1006,07-25,1.08%,4.53%,--,--,0,0.15%
1400,1401,240003,华宝宝康债券,1.3716,07-25,1.07%,3.07%,6.79%,14.58%,5,0.08%
1401,1402,000107,富国稳健增强债券A/B,1.0250,07-25,1.07%,2.74%,7.34%,--,0,0.08%
1402,1403,001252,中海进取收益混合,1.0500,07-25,1.06%,2.61%,--,--,0,0.08%
1403,1404,206015,鹏华纯债债券,1.0040,07-25,1.06%,0.98%,5.09%,--,2,0.08%
1404,1405,166105,信达澳银鑫安债券,0.9650,07-25,1.06%,1.06%,1.05%,4.74%,0,0.08%
1405,1406,000695,大成景益平稳收益混合,1.4280,07-25,1.06%,1.68%,4.33%,--,0,0.15%
1406,1407,001329,鹏华弘实混合A,1.0905,07-25,1.05%,3.95%,--,--,0,0.15%
1407,1408,002568,博时裕发纯债,1.0250,07-25,1.05%,--,--,--,0,0.08%
1408,1409,164902,交银信用添利债券(LOF),1.3740,07-25,1.05%,2.69%,8.50%,19.57%,4,0.08%
1409,1410,001949,建信稳定丰利债券C,1.0190,07-25,1.05%,--,--,--,0,0.00%
1410,1411,530021,建信纯债A,1.2150,07-25,1.03%,2.25%,5.66%,--,4,0.08%
1411,1412,001463,光大一带一路混合,0.8700,07-25,1.03%,3.72%,--,--,0,0.15%
1412,1413,002794,天弘永利债券E,0.9594,07-25,1.03%,--,--,--,0,0.08%
1413,1414,001955,中欧养老产业混合,1.0890,07-25,1.02%,--,--,--,0,0.15%
1414,1415,092002,大成债券C,1.0407,07-25,1.02%,2.31%,7.81%,23.54%,3,0.00%
1415,1416,686868,浙商聚盈信用债债券A,1.0280,07-25,1.02%,2.07%,2.89%,--,1,0.08%
1416,1417,519667,银河银信添利债券A,1.0461,07-25,1.02%,3.30%,7.91%,16.80%,5,0.08%
1417,1418,000354,长盛城镇化主题混合,1.3190,07-25,1.02%,6.50%,18.86%,--,4,0.15%
1418,1419,002447,博时裕安纯债,1.0092,07-25,1.02%,--,--,--,0,0.08%
1419,1420,040016,华安行业轮动混合,1.3136,07-25,1.02%,6.91%,22.28%,62.15%,4,0.15%
1420,1421,000737,诺安聚利债券C,1.0760,07-25,1.01%,2.88%,--,--,0,0.00%
1421,1422,160612,鹏华丰收债券,1.1090,07-25,1.00%,2.42%,5.95%,13.04%,2,0.08%
1422,1423,519723,交银双轮A,1.0390,07-25,1.00%,2.23%,5.09%,--,1,0.08%
1423,1424,100058,富国产业债债券,1.0200,07-25,1.00%,1.81%,5.24%,14.14%,4,0.08%
1424,1425,210011,金鹰灵活配置混合C,1.0288,07-25,1.00%,1.56%,4.25%,--,0,0.00%
1425,1426,002198,博时裕达纯债债券,1.0006,07-25,0.99%,--,--,--,0,0.08%
1426,1427,519731,交银定期支付月月丰债券C,1.3700,07-25,0.99%,3.47%,7.91%,--,3,0.00%
1427,1428,000333,长城稳固收益债券A,1.0910,07-25,0.99%,1.87%,--,--,0,0.08%
1428,1429,001704,国投瑞银进宝保本混合,1.0290,07-25,0.98%,--,--,--,0,0.12%
1429,1430,163819,中银信用增利债券(LOF),1.1040,07-25,0.98%,2.45%,6.60%,16.57%,0,0.08%
1430,1431,000186,华泰柏瑞季季红债券,1.0160,07-25,0.98%,1.84%,4.63%,--,3,0.08%
1431,1432,000937,华商稳固添利债券A,1.0840,07-25,0.98%,2.00%,--,--,0,0.08%
1432,1433,161120,易方达新综合债券C,1.2238,07-25,0.98%,2.78%,6.94%,--,0,0.00%
1433,1434,000184,工银添福债券A,1.6680,07-25,0.97%,2.07%,9.21%,--,4,0.08%
1434,1435,001011,华夏希望债券A,1.1280,07-25,0.97%,2.06%,6.29%,16.04%,4,0.10%
1435,1436,070022,嘉实领先成长混合,1.8770,07-25,0.97%,3.54%,16.66%,56.97%,2,0.15%
1436,1437,420102,天弘永利债券B,1.0701,07-25,0.97%,2.98%,7.86%,17.87%,4,0.08%
1437,1438,001330,鹏华弘实混合C,1.1634,07-25,0.96%,3.94%,--,--,0,0.15%
1438,1439,519611,银河旺利混合C,1.0410,07-25,0.96%,--,--,--,0,0.00%
1439,1440,000122,汇添富实业债债券A,1.0930,07-25,0.96%,2.38%,7.02%,--,4,0.10%
1440,1441,002971,前海开源鼎安债券A,1.0090,07-25,0.96%,--,--,--,0,0.08%
1441,1442,100018,富国天利增长债券,1.2377,07-25,0.95%,2.73%,7.06%,16.79%,3,0.12%
1442,1443,000032,易方达信用债债券A,1.2380,07-25,0.94%,3.17%,7.53%,--,4,0.08%
1443,1444,165314,建信信用增强债券C,1.3420,07-25,0.94%,1.53%,6.19%,--,0,0.00%
1444,1445,002242,国投瑞银瑞兴保本混合,1.0340,07-25,0.94%,--,--,--,0,0.12%
1445,1446,310378,申万菱信添益宝债券A,1.0610,07-25,0.94%,2.94%,6.95%,16.72%,3,0.08%
1446,1447,040001,华安创新,0.7390,07-25,0.94%,-1.34%,-0.59%,10.47%,1,0.15%
1447,1448,001335,南方利众A,1.1410,07-25,0.94%,5.71%,--,--,0,0.15%
1448,1449,400009,东方稳健债券,1.1140,07-25,0.93%,1.96%,5.02%,9.49%,3,0.08%
1449,1450,400022,东方利群混合A,1.2469,07-25,0.92%,2.38%,6.06%,--,0,0.15%
1450,1451,001212,华润元大稳健债券A,1.0160,07-25,0.92%,--,--,--,0,0.08%
1451,1452,000069,国投瑞银中高等级债券A,1.0560,07-25,0.92%,2.47%,6.24%,--,5,0.08%
1452,1453,002453,九泰久稳保本混合A,1.0170,07-25,0.92%,--,--,--,0,0.12%
1453,1454,002449,民生加银量化中国混合,1.0430,07-25,0.92%,--,--,--,0,0.15%
1454,1455,002304,平安大华安心保本混合,1.0230,07-25,0.91%,--,--,--,0,0.12%
1455,1456,002519,博时裕景纯债,1.0120,07-25,0.91%,--,--,--,0,0.08%
1456,1457,160622,鹏华丰利债券(LOF),1.0020,07-25,0.91%,3.07%,8.12%,--,0,0.08%
1457,1458,160415,华安深证300,1.2480,07-25,0.91%,0.08%,1.72%,19.21%,0,0.12%
1458,1459,000024,大摩双利增强债券A,1.0680,07-25,0.90%,3.49%,8.03%,--,4,0.08%
1459,1460,001570,南方利安A,1.0490,07-25,0.90%,--,--,--,0,0.15%
1460,1461,487016,工银保本混合A,1.1180,07-25,0.89%,1.65%,5.11%,13.42%,0,0.12%
1461,1462,070001,嘉实成长收益混合A,1.2105,07-25,0.89%,3.92%,18.24%,56.10%,3,0.15%
1462,1463,001199,创金合信聚利债券A,1.0800,07-25,0.89%,2.31%,--,--,0,0.08%
1463,1464,001394,博时新趋势混合A,1.0527,07-25,0.87%,1.79%,--,--,0,0.10%
1464,1465,000899,华富恒稳纯债债券C ,1.0960,07-25,0.87%,2.15%,--,--,0,0.00%
1465,1466,002544,长城久益保本C,1.0190,07-25,0.87%,--,--,--,0,0.00%
1466,1467,519660,银河增利债券A,1.5960,07-25,0.86%,3.67%,10.75%,--,3,0.08%
1467,1468,050106,博时稳定价值债券A,1.4820,07-25,0.86%,3.14%,12.52%,31.52%,3,0.08%
1468,1469,000889,上投摩根纯债添利债券A,1.0120,07-25,0.86%,2.22%,--,--,0,0.08%
1469,1470,481015,工银主题策略混合,1.9850,07-25,0.86%,-2.68%,-0.10%,31.46%,2,0.15%
1470,1471,000153,大成景旭纯债C,1.0700,07-25,0.86%,2.76%,6.50%,--,4,0.00%
1471,1472,001318,东方新策略灵活配置混合A,1.0618,07-25,0.85%,2.76%,--,--,0,0.12%
1472,1473,371020,上投纯债债券A,1.4050,07-25,0.85%,1.91%,5.88%,15.43%,4,0.08%
1473,1474,001298,金鹰民族新兴混合,1.0180,07-25,0.85%,1.81%,--,--,0,0.15%
1474,1475,519743,交银丰润收益债券A,1.0180,07-25,0.85%,2.84%,--,--,0,0.08%
1475,1476,002682,金鹰元和保本C,1.0060,07-25,0.84%,--,--,--,0,0.00%
1476,1477,002566,创金合信鑫安保本C,1.0330,07-25,0.84%,--,--,--,0,0.00%
1477,1478,531021,建信纯债C,1.1930,07-25,0.84%,1.85%,5.04%,--,3,0.00%
1478,1479,002658,招商安裕保本混合C,1.0100,07-25,0.84%,--,--,--,0,0.00%
1479,1480,161506,银河通利债券(LOF)C,1.1150,07-25,0.84%,1.58%,9.30%,26.67%,0,0.00%
1480,1481,000422,华泰柏瑞丰汇债券C,1.0760,07-25,0.84%,2.02%,--,--,0,0.00%
1481,1482,000109,富国稳健增强债券C,1.0210,07-25,0.83%,2.28%,6.58%,--,0,0.00%
1482,1483,000629,圆信永丰纯债A,1.0540,07-25,0.83%,2.79%,6.73%,--,0,0.06%
1483,1484,001546,博时裕盈纯债债券,1.0019,07-25,0.83%,--,--,--,0,0.08%
1484,1485,000421,华泰柏瑞丰汇债券A,1.0900,07-25,0.83%,2.38%,--,--,0,0.08%
1485,1486,660009,农银增强收益债券A,1.4556,07-25,0.82%,2.80%,7.86%,19.98%,4,0.08%
1486,1487,519007,海富通强化回报,0.8110,07-25,0.81%,-0.75%,-0.39%,11.31%,3,0.15%
1487,1488,002363,华安安康保本混合A,1.0230,07-25,0.81%,--,--,--,0,0.13%
1488,1489,040045,华安信用增强债券,1.0540,07-25,0.81%,1.46%,6.76%,--,3,0.08%
